VideoID,Video_Sentiments_Score,Sentiments_List_ID,Sentiments_Abb
nnsSUqgkDwU,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
i7NPb5lmQpY,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
dLchejnnjEI,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
JdN1t1lMVxU,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
nMzdAZ3TjCA,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
WF_HqZrrx0c,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
LxK743gc0PI,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
urkrB7gNwMI,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
8uO5PAD_CYA,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
ILxjxfB4zNk,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
1Pahqq-1hp0,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
IM-QYuzrXC0,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
wgBz_WD-jYA,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
WQk6A7eDE5w,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
23kdGfzDaCs,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
sWVKynMQTTI,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
2qdW7ramMr4,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
_Kmh4BbJPz8,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
VrtCpjXDyqM,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
DKAPJyFAzs8,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
RM2JAlPRYKE,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
iB5txqIl8jQ,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
_nufc37CHso,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
OFYSUPlZmcg,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
WX3N0Rr-q-E,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
Rzu6zeLSWq8,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
eke4s0erdgs,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
e3_OV5oODj8,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
K8ddz3Bu4KI,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
rBPmG2lK1uY,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
MV-_bqt_ePM,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
OhIEt5IN6GI,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
0Vxjh6KJi8E,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
F6Q_47Odm1A,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
pkpX7tU3vuo,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
KdRrP1Kh9TU,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
3bY7aOx8WHk,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
skedzvviBWM,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
8AsihR-MCig,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
NWug8UKCZxo,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
3quMz-EAThw,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
uIVfcqanGEU,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
kH3JycOMCR0,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
Zk1LRs39xGE,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
111MTs7MGuw,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
FoGGDKV88Fg,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
o3GksS6WGgY,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
uCd6-MZqPZg,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
mkLjjgxy7hQ,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
lyknI5_Wcqs,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
qCoReA4dNV0,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
vft5RNJ-U_4,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
Ih4VYnbm6Sw,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
3KyvlMJefR4,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
tBxMpuiBO7Q,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
YJeaO0trUoQ,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
92_2HbPjFdU,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
KFQXuCexTZs,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
mBwhdjaMfBA,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
UYy1GmJgFXA,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
KE1myHdqlWM,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
KZEZ4-KxuL0,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
6T2olgjnDWY,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
o3zD6HbcblA,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
wczdECcwRw0,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
_anNRzbAQQ8,21,"Inspired (motivated, ambitious, empowered, hopeful, determined)",inspired
VZ9lXgcYL50,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
QEDRDrV55q8,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
BhHONpmlxPc,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
dNjIpip6e3A,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
r3idOGxm3FA,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
z01w7kSkDbg,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
P9LHzVEPodg,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
hy2rGDWgOu8,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
azJEx1URHsI,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
Bdegk_3T2K0,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
Pc5gHm8Po20,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
-T7zyezBkuY,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
7ks-zhWCA_Q,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
BRKbcWGkw1I,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
5doFzYPjl2U,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
ub_a2t0ZfTs,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
Bf_z_7B4Ifw,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
5Xwg7tQjXsk,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
wi-SZOU1S-s,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
iNDaTA3u6-g,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
Bp1KfEGUzZo,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
BjWVEQGcjsU,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
3KHSWaEamQc,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
vLQGXHy5m6Y,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
eLhLqDUwPok,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
vh_EwI8pjQU,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
F7viKAPDmT0,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
KCmOB2L_djk,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
tojTf7I5H14,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
MkpUGyWQlV0,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
D9_WzE28IwE,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
B7g63DAr_i0,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
4naT8ckkj5Y,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
y7ROJjWS2L0,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
obdd31Q9PqA,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
UzPq0hDdDhs,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
pLKxTSqCVUo,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
dJy8MUESM3k,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
UuavPx0peFc,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
jhFqSlvbKAM,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
nzHihXOiNqk,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
gt0QF8-dTNw,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
ngUrBm4G1aM,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
Q285dYl2mZI,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
USggQ0Zv4yw,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
I_WGI3y2jqM,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
QRmPD2nMnBc,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
6L92MuJTJOk,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
J2pIvg-2vEY,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
5R8euGTHBR8,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
bWKgzgGNi0E,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
Ta-fub2dbhI,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
zk5HsBQYUZw,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
WfMVC2BOFSw,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
UIOdk3AhVA0,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
cXw2gm4yPEE,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
z1rCMzkbhmc,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
jqQbiJy1Ys0,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
Nr-44GQ4_kA,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
WNGSN_wDYw8,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
mqqFdXMySk4,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
7N9HoLhZGsU,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
m97UWd2QuAI,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
55BZ2gSsSmY,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
DZRmcKX85so,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
TiWbtpX4jsI,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
_LmxXeKzbT8,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
N6h1SMjQEog,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
jZyzxpKY3EQ,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
tqYVWN0AUuo,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
c7nRTF2SowQ,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
R-hl57xTLE8,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
BVWXKziczM8,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
fncOu6dp1IY,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
bL6aaatfWQU,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
jMqcA3wiKG0,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
tudsOEsUYWU,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
vUF7ja9ehIs,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
isPm79xTzM4,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
MNVqXKj-TrM,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
5Oag8iBB7HE,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
1KPPtmE079M,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
uLJhZEix5MY,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
e8iwjnN8j3A,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
K44k9GTx6nc,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
Zpk2uauRdA8,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
bbEy98llGRU,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
yIkwq8keNBI,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
-2l-FdatcTI,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
WfTJL_h0XfY,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
Yu08_9FtfuE,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
V_gGAPOZbFA,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
_wZSB0b9OCA,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
5hBqqxYcDN8,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
9woMDyfevso,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
6ck7frxs-Uc,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
DLGac1KQbsU,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
uxieMOdo6IU,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
qrXvICGm-58,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
F8bXFTHPK_0,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
igqR7Pcxfmk,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
XkaWyrm8EQg,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
krhB_An8fT4,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
80S3N-QnpZk,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
LjBIJGMum9A,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
nusZoYBbibo,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
YVRVAZb4iHs,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
bEiXvISNID4,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
p0LtpDFxHCQ,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
MWWTabHiV2E,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
1XLyCDsKhGo,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
88KNf0MtU14,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
d4m2LDCuADg,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
B0YOlACRlJM,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
HOYnOeo42ko,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
qqpcBpSsj1A,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
2Md5lPyuvsk,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
UNiGSf2Sy30,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
rqp6S6qgVg8,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
lPDOh5ZifyM,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
x5vtRQZmnwE,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
4ruCsnRmP4A,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
DsjRBYJTGtw,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
43_vQdp2k_o,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
r6GQEtUREWY,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
OJVwWi9s4z4,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
w7cQRr5Yca8,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
PKvNCP76fvM,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
0ji_-OJlVbI,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
mG4Di2nytAk,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
Bfd4wc4XChQ,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
ZsFUqPYlYjQ,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
xfBo1wwM3eI,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
n4OAtMEXNfc,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
ieSzsh4hJWI,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
tCl_yDquP9o,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
g_AtNY0bYAA,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
36PqkY398U8,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
AQ_XSHpIbZE,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
qo9lEPZ_0ao,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
XdA4OtR88bc,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
MpTe49ha0lU,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
4vGcH0Bk3hg,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
xM0rsYbAO_k,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
zcdDg30VBgo,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
o3MbbQhZfq4,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
wurSu_bJ97U,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
BrI7VRfqgo4,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
zvydETA5cYw,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
Rdz3fUiK4XY,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
AK88MQWsYj8,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
kdr_8uvG9hM,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
HdeX6CbeoKY,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
m9kAH2v9200,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
6Zd6Z2-fjik,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
HJxkAcj9TKM,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
yw0UF606mqg,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
kNP2lahOhvo,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
Sd4C8_FMdjA,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
IqhfGwnGNDg,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
oYcGSeXiUI8,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
7Ol2HYCnVbs,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
AEMK1O0BDqA,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
JkBNmBQb5qY,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
oAYn2lwc3Yo,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
efstterUes4,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
wNjQishYOy0,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
bRP1QMmfg-A,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
EKjWRiNXV00,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
aAVFCH9x7Og,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
9sz6xhPkGJ4,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
kj-SjwVsBDs,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
6uhCxBk6cQE,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
RvUIbqKyppY,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
Dz28sQc-1Mk,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
gclcnemDpZU,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
K1HaaiNUTCM,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
p111hxJYsVo,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
CIXE0Mr3rBg,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
wcIhCTi_HHY,1,"Active (energetic, adventurous, vibrant, enthusiastic, playful)",active
