,Sentiments_Abb,file_loc
51,cheerful,/project/Data/Video_train/Cadbury - Sibling Love Thematic 2010-DlB4hFTAxOo.mp4
52,cheerful,/project/Data/Video_train/New MAGGI Ad 2015 _ Khushiyon Ki Recipe _ #MomsMAGGI-DyMtcblMXfM.mp4
53,cheerful,/project/Data/Video_train/Kurkure ke Sath Family Free - Kurkure Family-lDypBPyWiak.mp4
54,educated,/project/Data/Video_train/Cracked Chiropractor Commercial-BJQfT9C5Adc.mp4
55,eager,/project/Data/Video_train/Doritos Super Bowl XLVII commercial - 2012 Winner-PzYKsLch4GM.mp4
56,educated,/project/Data/Video_train/Seamless.com TV Commercial _ Order Food Delivery Online-ZE72ilXg0jQ.mp4
57,active,/project/Data/Video_train/Bratz Kidz Super Secret Make-Up Vanity Commercial-thNmEKUBG5g.mp4
58,active,/project/Data/Video_train/Gisele Bündchen - I WILL WHAT I WANT-H-V7cOestUs.mp4
59,emotional,/project/Data/Video_train/Raymond - The Complete Man Saluting Single Mothers this Father's day-Bp4tUXc5wZo.mp4
60,feminine,/project/Data/Video_train/Kitsch Commercials - Folgers Coffee #2-Avsp_UJ3mrY.mp4
61,amazed,/project/Data/Video_train/Always Discreet Incontinence Products - Double Money Back Guarantee (15-second spot)-O-9xmen--6k.mp4
62,amused,/project/Data/Video_train/Best beer commercial ever - 'Thirsty For Beer' (2010)-MX145Tu4MHY.mp4
63,cheerful,/project/Data/Video_train/Start a New Career with Treehouse-zeGT4UArCdc.mp4
64,afraid,/project/Data/Video_train/If Cigarettes Looked As Dangerous As They Are _ The Real Cost-TnHydQ94Z_Y.mp4
65,active,/project/Data/Video_train/Game of War - 2015 Super Bowl Commercial 'Who I Am' ft. Kate Upton-XkaWyrm8EQg.mp4
66,inspired,/project/Data/Video_train/Parrot BEBOP 2 Drone - Official Video (Launch)-2qdW7ramMr4.mp4
67,youthful,/project/Data/Video_train/Spider-Man (Atari 2600) Commercial 1982--usbQDfTIqE.mp4
68,amused,/project/Data/Video_train/Funny Anti-Smoking Commercial-J3POpdFlxWE.mp4
69,cheerful,/project/Data/Video_train/OLD INDIAN ADs 'Nescafe'-XgUJP6xGHOs.mp4
70,amused,/project/Data/Video_train/Crocodile Hunter - Most Embarrassing Moments-iHwdQdwc_Tk.mp4
71,eager,/project/Data/Video_train/Alaska Milk  Philippine Commercial  Classic 1974-b3F-20ld720.mp4
72,amazed,/project/Data/Video_train/Plants vs. Zombies Garden Warfare 2 Launch Gameplay Trailer-Hv7t_zFUDBk.mp4
73,amused,/project/Data/Video_train/Orbit Commercial Janice Dickinson-KyiV12WdJew.mp4
74,amazed,/project/Data/Video_train/Moto G Turbo Edition _ Water Resistance Commercial-EJxibzQfeBA.mp4
75,amused,/project/Data/Video_train/Extremely funny condom commercial Keep laughing!-Z_hwMtG2xCs.mp4
76,disturbed,/project/Data/Video_train/The Truth Behind Justin Bieber’s Calvin Klein Ad-7QBgCfKfXqQ.mp4
77,cheerful,/project/Data/Video_train/Beados Gems DR Commercial-Jtakqt3Jygk.mp4
78,cheerful,"/project/Data/Video_train/Dirty Grandpa Official Trailer #1 (2016) - Zac Efron, Robert De Niro Comedy HD-aZSzMIFZT7Q.mp4"
79,eager,/project/Data/Video_train/M&S Food - Adventures in Tea-Time - TV Ad 2015-JYu3LjgnT9s.mp4
80,amused,/project/Data/Video_train/Kinder Joy – Imagination Ko Jodo-V6F2szDteSI.mp4
81,alert,/project/Data/Video_train/Deponia Doomsday - Announcement Teaser-3wC7XjH-pTQ.mp4
82,amused,/project/Data/Video_train/ESPN commercial - DMV-bzoE5dlxH2s.mp4
83,alert,/project/Data/Video_train/John Wall - PS4 Upgrade-Om5zrGo1n6c.mp4
84,active,/project/Data/Video_train/Cleary & Harding McDonald's commercial-u1QdH6ZgJ3M.mp4
85,youthful,/project/Data/Video_train/Shopkins Official TV Commercial Ad HD-06WUc7y8vak.mp4
86,amused,/project/Data/Video_train/Vodafone Promo - Boxing  TVC - 2014 - HD-lTerDhlAEMI.mp4
87,amused,/project/Data/Video_train/Awesomely Sexist Pepsi Commercial From 1957-113mRmchumY.mp4
88,eager,/project/Data/Video_train/Aamir Khan 1st Coca Cola Old Indian Doordarshan Ad-2yO4-Oh-JP4.mp4
89,amazed,/project/Data/Video_train/FIND YOUR PERFECT NEUTRAL!-_WXDXoy9wrM.mp4
90,amazed,/project/Data/Video_train/X-MEN APOCALYPSE - QUICKSILVER Sky Fibre TV Commercial-Vot3KDw2z3o.mp4
91,inspired,/project/Data/Video_train/Lokai Bracelet Commercial-wgBz_WD-jYA.mp4
92,amazed,/project/Data/Video_train/iPhone 7 - Parachute System-D3J7R6WBJJc.mp4
93,afraid,/project/Data/Video_train/Palin - I Read All the News-9go38MgZ4w8.mp4
94,educated,/project/Data/Video_train/Latest A. O. Smith Blue Diamond Technology Geyser Water Heater in India-E-MRp96TgbQ.mp4
95,cheerful,/project/Data/Video_train/Dytto – That's My Jam – Thumbprint Radio-udJtfSkRgbA.mp4
96,active,/project/Data/Video_train/Bo Knows Commercial-9sz6xhPkGJ4.mp4
97,amazed,/project/Data/Video_train/Game of War - 'Rooftop' - MMO Strategy Game-DhOIJBk7KaU.mp4
98,amused,/project/Data/Video_train/AXE Commercial-P3IjDZWcsTE.mp4
99,amused,/project/Data/Video_train/Blue Whale's Perfect Comic Timing! _ Big Blue Live _ #EarthOnLocation _ Earth Unplugged-HRu7W935dyk.mp4
100,amused,/project/Data/Video_train/Ruth's Doublemint Chewing Gum Commercial-xwNe5Kqi3Ho.mp4
101,eager,/project/Data/Video_train/Coca Cola Commercial - I'd Like to Teach the World to Sing (In Perfect Harmony) - 1971-ib-Qiyklq-Q.mp4
102,creative,/project/Data/Video_train/Introducing the self-driving bicycle in the Netherlands-LSZPNwZex9s.mp4
103,inspired,/project/Data/Video_train/'Luxury Defined' - The 1996 Maxima GLE Sport Sedan-Fr6FklMc6B0.mp4
104,amazed,/project/Data/Video_train/Clash of Kings - Final Battle (English)-2o1TA0PG6pA.mp4
105,alarmed,/project/Data/Video_train/Japanese baby ogre kleenex commercial-_r7yKaDxGvc.mp4
106,amused,/project/Data/Video_train/ŠKODA Octavia vRS - Not Your Everyday Family Car Ad-BgZluCEBS6w.mp4
107,active,/project/Data/Video_train/Tourism Australia and Chris Hemsworth-vUF7ja9ehIs.mp4
108,amused,/project/Data/Video_train/2008 Chevy Malibu Bank Robbery Ad-OL946vRUDJg.mp4
109,eager,/project/Data/Video_train/Tropicana Advert Commercial - Arctic Sun - Brighter mornings for brighter days-4Krky4i6Xk8.mp4
110,eager,/project/Data/Video_train/Pour for Pure Delight – Thai Kitchen Coconut Milk Commercial-oJbdSseA0C8.mp4
111,amazed,/project/Data/Video_train/So Real it's Scary _ LG IPS Monitors-NeXMxuNNlE8.mp4
112,active,/project/Data/Video_train/Xbox One - E3 Jump ahead-MTx9-ohAeWo.mp4
113,creative,"/project/Data/Video_train/First Apple Commercial 1977 by High Technology, Inc.-FxZ_Z-_j71I.mp4"
114,amused,/project/Data/Video_train/SnG - Pepsi Crash The Pepsi IPL ad-6mpS6V6Ucrk.mp4
115,fashionable,/project/Data/Video_train/2014 Jamie Casino - 2 Minute Super Bowl Commercial - Casino's Law-jr2gdPY-88w.mp4
116,amazed,/project/Data/Video_train/Game of War - Plan quickly-vShYYeWlgbU.mp4
117,active,/project/Data/Video_train/TaB cola ad 1982-LhGJvGhIzaw.mp4
118,calm,/project/Data/Video_train/Compare Bank Accounts at our Local BOQ Branches-1vtcf13zT08.mp4
119,educated,/project/Data/Video_train/Old Philippine TV AD-iQuTPEYg2ow.mp4
120,amazed,/project/Data/Video_train/FUNNY Audi R8 commercial - cool Audi ad - 'The hostage'-_6rj5jisB7g.mp4
121,eager,/project/Data/Video_train/Nexus One - 'Web meets phone'-I6COwgigJ-g.mp4
122,active,/project/Data/Video_train/Eating Local Favorites Like a Local _ Good As Gold Presented By American Express-wcIhCTi_HHY.mp4
123,calm,/project/Data/Video_train/Microsoft banned commercial-oINYoy98JJo.mp4
124,amused,/project/Data/Video_train/The Story of Vans-p5n2x0ox47w.mp4
125,empathetic,/project/Data/Video_train/The Power of Words-Hzgzim5m7oU.mp4
126,amused,/project/Data/Video_train/Freddy Plush Commercial-Owywvqg5IOQ.mp4
127,persuaded,/project/Data/Video_train/Taylor Swift New Song in Cat-Filled Diet Coke Commercial!-iuubaXDeXh0.mp4
128,cheerful,/project/Data/Video_train/Cadbury's Crunchie UK TV Ad-nOsdS5irjAo.mp4
129,alert,/project/Data/Video_train/Bringing Rugby Home _ Rugby World Cup _ Emirates Airline-KHx0_NFuGb4.mp4
130,eager,/project/Data/Video_train/Watch Ranveer Singh #GTFO with Roadster-q1L60jfPgBM.mp4
131,amused,/project/Data/Video_train/Volkswagen Beetle 2011 Super Bowl XLV television commercial--NGN4J6F_vI.mp4
132,amazed,"/project/Data/Video_train/Classic memories reappear on the phone ,  Pokemons are waiting for you to capture again-d4rxwT7TwXg.mp4"
133,cheerful,/project/Data/Video_train/New Milkybar Montage ad-dGcIUitNlGQ.mp4
134,amused,/project/Data/Video_train/Allstate mayhem commercial - Dean Winters as Teenage Girl in Pink Truck-vtP-S9OS0o0.mp4
135,amazed,/project/Data/Video_train/Paragon - Mid-Lane Push - New Heroes Gameplay Video-Q49CQwAmPIk.mp4
136,amazed,/project/Data/Video_train/Vintage 60s The Barbie Look Commercial-m4ZEEaPyeG0.mp4
137,angry,/project/Data/Video_train/OLD INDIAN ADs-W5W_i8oa9cE.mp4
138,amused,/project/Data/Video_train/Sting Sprite commercial-2j65DpagyhI.mp4
139,alarmed,/project/Data/Video_train/Volkswagen - Like-wtaXjzQQGE8.mp4
140,cheerful,/project/Data/Video_train/Classic Indian Commercials-Coke AD-N2muWKtHCnc.mp4
141,eager,/project/Data/Video_train/Timofey Mozgov TV Commercial Backwards Jersey-OqiJOPXpksc.mp4
142,alert,/project/Data/Video_train/GOLD 15sec QEVY3207-EZ5MxR80uYw.mp4
143,active,/project/Data/Video_train/Internet On Kar!-e8iwjnN8j3A.mp4
144,persuaded,/project/Data/Video_train/Racism. It Stops With Me. TV spot.  Feat. Adam Goodes-ASsZ-u9YV3c.mp4
145,alarmed,/project/Data/Video_train/TAC Safety TV Ad - Don't Drive While Distracted #1-0AHGLGQgAn8.mp4
146,amused,/project/Data/Video_train/Tampon Ads Vs. Real Life-z9Cym8YHP94.mp4
147,eager,/project/Data/Video_train/Cristiano Ronaldo Official KFC Arabia TV Ad-kZV01QAcl20.mp4
148,eager,/project/Data/Video_train/Original 'Cow Shake' commercial-wq25qD44hC0.mp4
149,amused,/project/Data/Video_train/Mentos commercial (Traffic light) from the 90s-yfp2Bg6iUdY.mp4
150,persuaded,/project/Data/Video_train/Traverse City - Pure Michigan National Television Commercial-0DuFujGCswU.mp4
151,active,/project/Data/Video_train/mercenaries 2 commercial oh no you didn't-daIrc6uBRkc.mp4
152,amazed,/project/Data/Video_train/Rihanna's ANTI diaRy - Room 2-0UoJyED73bQ.mp4
153,inspired,/project/Data/Video_train/Nike Air commercial Charles Barkley-nMzdAZ3TjCA.mp4
154,amused,/project/Data/Video_train/Funny Orbit Gum Commercial-WEJJUGJZxpU.mp4
155,persuaded,/project/Data/Video_train/funny Mercedes-Benz commercial 'Unexpected' new-q-xkGEW0dVA.mp4
156,active,/project/Data/Video_train/See spectacular Sydney and NSW with Qantas  -15-8nMOcw70RX8.mp4
157,alert,/project/Data/Video_train/Coca cola Creates First Ever  Drinkable  Advertising Campaign-IQovoot_ZUM.mp4
158,amused,/project/Data/Video_train/KIT KAT squirrel Ad 2010 (india) HD-QtznmBe_T8w.mp4
159,amused,/project/Data/Video_train/Snickers Speedwalker Ad-DvpKouRTCx0.mp4
160,alert,/project/Data/Video_train/allen iverson A7 commercial-IOqTCaziZp0.mp4
161,active,/project/Data/Video_train/Battle Camp iOS Fire Lion!-tkUHLrFyaEk.mp4
162,youthful,/project/Data/Video_train/Shopkins Season 2 Food Fair  Official TV Commercial-pzJCbdgf6hs.mp4
163,alarmed,/project/Data/Video_train/banned commercial Smart car-Oph4fcJmPBk.mp4
164,alert,/project/Data/Video_train/Bold Team puts their PinkStrong Gums to the test. Watch them #BringOutTheBold!-pnISZdg_3lw.mp4
165,eager,/project/Data/Video_train/NESTLÉ EVERYDAY – Tea’s Perfect Partner-hFYCjZvv8y4.mp4
166,amazed,"/project/Data/Video_train/Yousician Guitar - the fast and fun way to learn, play and master the guitar.-xFnB0uK7PcQ.mp4"
167,cheerful,/project/Data/Video_train/Introducing RE - A remarkable little camera-EIv10asX7cc.mp4
168,eager,/project/Data/Video_train/Nutella Commercial-ThIrw_LpuRA.mp4
169,eager,/project/Data/Video_train/Power of the Crunch-7DZao4kN73M.mp4
170,amazed,/project/Data/Video_train/'Brewed the Easy Way' Ninkasi Craft Beer Budweiser Super Bowl Commercial Parody -ZEKqLxtjwDQ.mp4
171,active,/project/Data/Video_train/Kristen Stewart at the 2016 Cannes Festival – CHANEL Events-mfrZmzP2ZTU.mp4
172,alert,/project/Data/Video_train/Convenient money transfers from USA to India with ICICI Bank Money2India-0P3A6V_sDSI.mp4
173,eager,/project/Data/Video_train/A Cheesy Love Story - The Ad Doritos Don't Want You to See-VPlxNhEc2lA.mp4
174,alert,/project/Data/Video_train/Banned Commercial - Condoms-nojWJ6-XmeQ.mp4
175,amused,/project/Data/Video_train/Banned Commercial--Mentos has Different Version-zE9wNkE820w.mp4
176,creative,/project/Data/Video_train/DC Shoes Hoops Commercial-0G7g9lw20l4.mp4
177,amused,/project/Data/Video_train/Spike Jonze Ikea ad-TsQXQGaasUg.mp4
178,calm,/project/Data/Video_train/Raja For Congress - 'Meet Raja' Chicago Tribune Endorsement-u94i5CWENzI.mp4
179,amused,/project/Data/Video_train/dumb blonde commercial-fXT3Sma4-rg.mp4
180,active,/project/Data/Video_train/Hot Shapers Fitness for Women Now In Middle East-Zov6yho65G0.mp4
181,alarmed,/project/Data/Video_train/Listen - 60 (NO MORE's Official Super Bowl 49 Ad)-rTJT3fVv1vU.mp4
182,amused,/project/Data/Video_train/Geico Commercial -The Pips-OgzDWlmyyYA.mp4
183,amused,/project/Data/Video_train/Couples Swap Phones And Go Through Each Other's History [LABS]-ROzC0-LD1P8.mp4
184,alert,/project/Data/Video_train/Nestle Fruita Vitals [Ad 2] TVC 2013 featuring Varun Dhawan and Alia Bhatt-GF1RZ2A1cq4.mp4
185,amused,/project/Data/Video_train/Jack In The Box 'Jack's Back'-N-rgqDhnLoU.mp4
186,active,/project/Data/Video_train/Mobile Strike - Arnold Schwarzenegger in 'Command Center' - UNCUT VERSION-_U_4J_e6tQM.mp4
187,active,/project/Data/Video_train/Pokken Tournament Opening Intro Trailer (Pokemon 2015 _ 2016 Game)-MkpUGyWQlV0.mp4
188,afraid,"/project/Data/Video_train/Anti-smoking Ad - Smoking Causes Emphysema, Lung Cancer #shorts-SaeJUCVEp2s.mp4"
189,amused,/project/Data/Video_train/MAKE IT SUPERIOR WITH KING--rYZwYEpCds.mp4
190,educated,/project/Data/Video_train/E-Trade Superbowl Commercial w_ baby-X4GZfvXx9Js.mp4
191,alert,/project/Data/Video_train/AA Car Insurance-um2ro-3T8A0.mp4
192,alarmed,/project/Data/Video_train/LEGO - Everything is NOT awesome.-qhbliUq0_r4.mp4
193,alert,/project/Data/Video_train/WWE 2K16 - Arnold Schwarzenegger Terminator Trailer-O7aSsaTqBCc.mp4
194,creative,/project/Data/Video_train/iloveRobots Penbo television commercial-Tt4odad9p8c.mp4
195,amazed,/project/Data/Video_train/The Swingset - It's All Been Training _ Tough Mudder-MDni5wUNiuU.mp4
196,active,/project/Data/Video_train/Euromillions Paintball Ad-TmnY_Q0YBVE.mp4
197,active,/project/Data/Video_train/Kevin Durant's New NBA Where Amazing Happens Commercial-2MwarUSvaLM.mp4
198,eager,/project/Data/Video_train/Papa Na Kita #ALDUBKoTo-hHxE2wdegms.mp4
199,active,/project/Data/Video_train/General Doingit PSA - 15-iNDaTA3u6-g.mp4
200,active,/project/Data/Video_train/Get kitted out - rebel is #thehomeoffootball!-X6pyDwa3nGw.mp4
201,inspired,/project/Data/Video_train/Koko the gorilla is the voice of Nature at COP21-FVuNTiqHys0.mp4
202,amused,/project/Data/Video_train/Washington Mutual Advertisement-laot_Eomr3s.mp4
203,alert,/project/Data/Video_train/Kobe Bryant's Newest NIKE Commercial in HD - The Kobesystem-oSHtuXXbig4.mp4
204,amused,/project/Data/Video_train/Cadbury Dairy Milk Silk - Cinema Commercial.wmv-jRCTcUh-XOc.mp4
205,inspired,/project/Data/Video_train/'Bull' Matthew McConaughey and the MKC - Official Commercial _ Lincoln-FoGGDKV88Fg.mp4
206,conscious,/project/Data/Video_train/UTI SIP Watch TVC - Aapni tarakki ki raftar ko SIP ki shakti dein-JvcH3kpEP8E.mp4
207,amazed,/project/Data/Video_train/Minn Kota Ulterra Commercial-y5ejwRj9t1Q.mp4
208,amused,/project/Data/Video_train/Late Show With David Letterman Oprah Winfreh and Jay Leno Superbowl XLIV 2010 Commercial--KSKkmypTZM.mp4
209,active,/project/Data/Video_train/Official PlayStation 4 Perfect Day Commercial-VK03aVJekGg.mp4
210,active,/project/Data/Video_train/Brett Favre Wrangler's Commercial-J2pIvg-2vEY.mp4
211,alarmed,/project/Data/Video_train/Most Shocking Second a Day Video-RBQ-IoHfimQ.mp4
212,amused,/project/Data/Video_train/Tide to Go Talking Stain-X2cs8gnb42A.mp4
213,confident,/project/Data/Video_train/Goldfish Commercial-bHwLgwBd6k0.mp4
214,amazed,/project/Data/Video_train/Dirty Dancing comes to San Francisco-Q9aJBgPpgYY.mp4
215,amused,/project/Data/Video_train/The Animal Monster Truck Toy Commercial-5W4MYJt8c4w.mp4
216,amused,/project/Data/Video_train/Seagram's Imperial Blue ad (pretty girl in elevator)-4XQ7x7c2hkQ.mp4
217,alert,/project/Data/Video_train/Persona Doctors - Solution for your weight loss-DED1fp04298.mp4
218,cheerful,/project/Data/Video_train/Chocolate Lolly Maker from John Adams-7b8zeykara0.mp4
219,amused,/project/Data/Video_train/Giant Playing Cards-h6Hq_MOFJDA.mp4
220,active,/project/Data/Video_train/Tough Mudder Half - EPIC Teamwork Challenge _ Tough Mudder-fNZf5shOq5k.mp4
221,active,/project/Data/Video_train/Mirror's Edge Catalyst Launch Trailer - Why We Run-r6GQEtUREWY.mp4
222,active,/project/Data/Video_train/GoPro - Chicken The Dog - TV Commercial-gXlDStpJVhM.mp4
223,educated,/project/Data/Video_train/Insurance rates tailored to your driving habits-KDuLZeVfYcg.mp4
224,amazed,/project/Data/Video_train/Fast Hybrid AF _ Alpha 7R II _ Sony _ α-5Ea5lKyWxGc.mp4
225,active,/project/Data/Video_train/The Leader Who Acted When Washington Didn't l TX House Speaker Joe Straus-9NYu9STVm-I.mp4
226,amazed,/project/Data/Video_train/Mobile Strike - Arnold Schwarzenegger in 'Defense' FULL VERSION-VdonoCCQF9o.mp4
227,sad,"/project/Data/Video_train/If this video about a shelter dog doesn't move you, check your pulse!-jc5XQSVeQ2c.mp4"
228,amused,/project/Data/Video_train/Bud Light Commercial - Close Encounters [HD]-xeo9mVnuuWo.mp4
229,inspired,/project/Data/Video_train/Imagine a World Without Hate (Official Video)-3KyvlMJefR4.mp4
230,educated,/project/Data/Video_train/Donald Trump Releases First TV Ad-qa3edsMzHkA.mp4
231,eager,/project/Data/Video_train/New MAGGI Hot & Sweet - Toast Ad _ 2016-Ar7Fj1LzFp8.mp4
232,amazed,/project/Data/Video_train/Taco Bell 1979 TV ad-YR5YJ3qzIx4.mp4
233,active,/project/Data/Video_train/Nike Football Ad Airport Scene-sbFmK4zZ9Ys.mp4
234,active,/project/Data/Video_train/DHL Fastest Pit Stop Award - 2016 FORMULA 1 GRAND PRIX OF EUROPE-7VCYBtx6h4g.mp4
235,amused,/project/Data/Video_train/1969 Dodge Charger Television Commercial-4JhzwNuo75M.mp4
236,amazed,/project/Data/Video_train/5 Gum – Kiss-9u9tDUHwCio.mp4
237,active,"/project/Data/Video_train/Madras, Baby! _ JUST EAT TV ad-zt3Gvdu9mtM.mp4"
238,active,/project/Data/Video_train/GCU STEM 30-hyPKPXZvJ2E.mp4
239,active,/project/Data/Video_train/VB Victoria Bitter (Australian ad) 1988-WA1h9h7-_Z4.mp4
240,active,/project/Data/Video_train/'Grape Drink' Sunny Delight  Commercial-sjgLb0HJ3VE.mp4
241,cheerful,/project/Data/Video_train/'Pag-Ibig' _ Nestlé PH 100 Years-ffQf0ztguzs.mp4
242,amused,/project/Data/Video_train/Mike and Dave Need Wedding Dates _ Where Do Brothers Come From [HD] _ 20th Century FOX-SzRUsI6Q25E.mp4
243,active,"/project/Data/Video_train/FIFA 16 Official E3 Gameplay Trailer - PS4, Xbox One, PC-bwz98athxQ8.mp4"
244,eager,/project/Data/Video_train/Meanwhile On A Carnival Cruise _ Get to Know Us _ Carnival Cruise Line-XbLZe1r0DJk.mp4
245,eager,/project/Data/Video_train/Chipsmore 美食烘烤秀-D0cyg74awpI.mp4
246,amazed,/project/Data/Video_train/Wendy's Training Video Cold Drinks-PJ-JBFXh2IU.mp4
247,amazed,/project/Data/Video_train/Kritika - The White Knights Blood Demon Official Trailer 2-ZbTCfuCnWCE.mp4
248,amused,/project/Data/Video_train/Wendy's Commercial - Soviet Fashion Show-5CaMUfxVJVQ.mp4
249,amused,/project/Data/Video_train/The Ugglys Official TV Commercial-487-TyrRkfE.mp4
250,active,/project/Data/Video_train/WWE Smackdown! - Here Comes the Pain Commercial-F02kgBHjBms.mp4
251,amused,/project/Data/Video_train/Axe Chocolate Man commercial-Y3qYT60DSKQ.mp4
252,cheerful,/project/Data/Video_train/How to Tie Home Décor Together-j_YJysHv3OM.mp4
253,eager,/project/Data/Video_train/WILD CAT ENERGY DRINK COMMERCIAL (Australia)-c6PPa6sg20E.mp4
254,eager,/project/Data/Video_train/Walkers Extra Crunchy Advert Featuring Lionel Richie-i7mmXeRvgLo.mp4
255,youthful,/project/Data/Video_train/Barbie McDonalds Resturant commercial-VicXmrGCnYA.mp4
256,alarmed,/project/Data/Video_train/Fragile Childhood - Monsters-XwdUXS94yNk.mp4
